DEPT,NPHI,SP,DT,GR,CALI,RHOB,Deep_RS,RS,source
1298.5,40.1438,-34.7839,110.7938,85.0937,10.1132,2.3069,10.0273,10.2006,las_2_df
1299.0,39.0142,-34.3717,110.8722,85.6689,10.1295,2.3059,9.9452,10.0837,las_2_df
1299.5,39.1597,-33.8169,110.8805,86.8815,10.141,2.3167,9.844,10.0053,las_2_df
1300.0,39.8341,-33.2901,110.6322,89.0646,10.2064,2.3272,9.7349,9.9709,las_2_df
1300.5,40.9719,-32.7865,110.7834,90.0845,10.2809,2.3214,9.688,9.967,las_2_df
1301.0,41.494,-32.5596,111.5904,89.8639,10.2954,2.3317,9.7806,10.0842,las_2_df
1301.5,41.1573,-32.4649,111.3679,89.5311,10.3078,2.3366,9.8733,10.2224,las_2_df
1302.0,39.9712,-32.4871,109.8761,88.9945,10.3037,2.3464,10.052,10.3897,las_2_df
1302.5,39.2465,-32.3933,108.0632,88.1945,10.2981,2.352,10.3679,10.5287,las_2_df
1303.0,39.0087,-32.2254,106.2253,87.8228,10.2904,2.3503,10.6838,10.9022,las_2_df
1303.5,39.154,-32.1224,105.3065,87.9739,10.2889,2.3508,10.9997,11.0732,las_2_df
1304.0,38.9291,-32.0113,105.752,88.1344,10.2028,2.3528,11.3156,11.2163,las_2_df
1304.5,37.8982,-31.8828,106.1738,88.2181,10.1265,2.3572,11.5248,11.3067,las_2_df
1305.0,37.5595,-31.8428,106.3907,88.2072,10.1232,2.3651,11.5273,11.4338,las_2_df
1305.5,37.0653,-31.8945,106.2891,86.9978,10.1404,2.37,11.5297,11.3617,las_2_df
1306.0,35.8753,-31.7902,105.2801,85.8573,10.1047,2.3741,11.5322,11.4128,las_2_df
1306.5,35.173,-31.7047,104.2777,85.3493,10.0522,2.3764,11.4723,11.4194,las_2_df
1307.0,35.8785,-31.9198,103.6807,85.3183,10.0011,2.3746,11.375,11.4352,las_2_df
1307.5,36.8432,-32.31,104.5094,85.0254,10.0099,2.3733,11.2777,11.3954,las_2_df
1308.0,37.0152,-32.7172,104.6992,84.1911,10.0804,2.3751,11.1804,11.2897,las_2_df
1308.5,36.8946,-32.7818,104.3841,83.4628,10.1025,2.3922,11.0831,11.1386,las_2_df
1309.0,36.9123,-32.2928,103.771,84.2588,10.236,2.3941,10.9859,10.997,las_2_df
1309.5,37.6071,-31.7705,103.6294,86.0103,10.1818,2.3898,10.8886,10.6252,las_2_df
